0,1405105215,utime,volts24,volts12,gappos,gapmotor,BSChKill,MotCont,MotPreC,ArrCont,ArrPreC,GapD1,GapIN1,GapIN2,ArrayA,ArrayB,ArrayC,Estop,Thren
0,1405105215,mins,,,,0,,,,,,0,,,,,,,0,,,,,,-2,,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0
0,1405105215,maxs,,,100,,,,100,,,,100,,,,,,+2,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,1
0,1405105215,attr,,,,N,,,,,,,N,,,,,,N,,,,,,,N,,,,,,,,L,,,,,,,,L,,,,,,L,,,,,,,L,,,,,,,L,,,,,,L,,,,,L,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,L
0,1405105215,2865,55861,43216,48317,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1405105216,3910,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1405105217,4913,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105218,5915,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105219,6916,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105220,7923,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105221,8925,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105222,9930,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105223,10940,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105224,11951,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105225,12954,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105226,13959,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105227,14961,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105228,15967,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105229,16969,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105230,17972,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105231,18977,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105232,19978,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105233,20980,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105234,21981,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105235,22983,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105236,23987,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105237,24989,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105238,25990,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105239,26994,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105241,28225,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105242,29230,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105243,30231,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105244,31234,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105246,33266,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105247,34273,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105248,35279,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105249,36283,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105250,37285,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105251,38293,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105252,39298,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105253,40307,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105254,41314,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105255,42321,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105256,43329,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105257,44336,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105258,45352,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105259,46357,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105260,47364,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105261,48371,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105262,49375,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105263,50378,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105264,51384,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105265,52390,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105266,53403,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105267,54410,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105268,55429,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105269,56436,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105271,58479,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105272,59482,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105273,60493,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405105274,61499,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105275,62507,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405105276,63511,55861,43216,48317,-1,0,0,1,0,1,0,0,1,0,0,0,0,1
0,1405105277,64513,55861,43216,48317,-1,0,0,1,0,1,0,0,1,0,0,0,0,0
0,1405105278,65523,55861,43216,48317,-1,0,1,0,1,0,0,0,1,1,1,1,0,0
0,1405105279,66526,55861,43216,48317,-1,0,1,0,1,0,0,0,1,1,1,1,0,0
0,1405105280,67536,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,0
0,1405105281,68542,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,0
0,1405105282,69546,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,0
0,1405105283,70548,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,0
0,1405105284,71556,55861,43216,48317,0,0,0,1,1,0,0,1,1,1,1,1,0,0
0,1405105285,72559,55861,43216,48317,0,0,0,1,1,0,0,1,1,1,1,1,0,0
0,1405105286,73561,55861,43216,48317,-1,0,1,1,1,0,0,0,1,1,1,1,0,0
0,1405105287,74565,55861,43216,48317,0,0,1,0,1,0,0,1,1,1,1,1,0,0
0,1405105288,75573,55861,43216,48317,0,0,1,0,1,0,0,1,1,1,1,1,0,0
0,1405105289,76580,55861,43216,48317,0,0,1,0,1,0,0,1,1,1,1,1,0,0
