0,1405105215,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405105215,mins,,,0,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0
0,1405105215,maxs,,32768,,,32768,,32768,,32768,32768,32768,32768,32768,,32768,,32768
0,1405105215,attr,,N,,,,,,,,N,,,,,,N,,,,,,,N,,,,,N,,,,,N,,,,,N,,,,,N,,,,N,,,,,,,N
0,1405105215,2865,0,0,0,0,0,0,0,0,0,0
0,1405105216,3910,0,0,0,0,0,0,0,0,0,0
0,1405105217,4913,30555,-77,14200,0,1,30420,-77,14090,121,1
0,1405105218,5915,30555,-75,14200,0,1,30420,-75,14090,121,1
0,1405105219,6916,30555,-75,14195,0,1,30420,-77,14090,121,1
0,1405105220,7923,30555,-75,14195,0,1,30465,-77,14090,121,1
0,1405105221,8925,30555,-75,14195,0,1,30420,-77,14085,121,1
0,1405105222,9930,30555,-75,14195,0,1,30420,-77,14085,121,1
0,1405105223,10940,30555,-75,14190,0,1,30420,-75,14085,121,1
0,1405105224,11951,30555,-77,14190,0,1,30420,-78,14085,121,1
0,1405105225,12954,30555,-75,14190,0,1,30465,-75,14085,121,1
0,1405105226,13959,30555,-75,14185,0,1,30420,-75,14080,121,1
0,1405105227,14961,30555,-75,14185,0,1,30465,-77,14080,121,1
0,1405105228,15967,30555,-75,14185,0,1,30420,-75,14080,121,1
0,1405105229,16969,30555,-75,14185,0,1,30420,-75,14080,121,1
0,1405105230,17972,30555,-75,14180,0,1,30420,-75,14075,121,1
0,1405105231,18977,30555,-75,14180,0,1,30420,-75,14075,121,1
0,1405105232,19978,30555,-75,14180,0,1,30420,-75,14070,121,1
0,1405105233,20980,30555,-75,14180,0,1,30465,-75,14070,121,1
0,1405105234,21981,30555,-75,14175,0,1,30420,-75,14070,121,1
0,1405105235,22983,30555,-75,14175,0,1,30420,-75,14070,121,1
0,1405105236,23987,30555,-75,14175,0,1,30420,-75,14065,121,1
0,1405105237,24989,30555,-75,14175,0,1,30420,-75,14065,121,1
0,1405105238,25990,30555,-75,14170,0,1,30465,-75,14065,110,1
0,1405105239,26994,30555,-75,14170,0,1,30465,-75,14065,121,1
0,1405105241,28225,30555,-75,14170,0,1,30465,-75,14065,121,1
0,1405105242,29230,30555,-75,14170,0,1,30420,-75,14060,121,1
0,1405105243,30231,30555,-75,14165,0,1,30465,-75,14060,110,1
0,1405105244,31234,30555,-75,14165,0,1,30465,-75,14060,121,1
0,1405105246,33266,30555,-75,14165,0,1,30420,-75,14060,121,1
0,1405105247,34273,30555,-75,14160,0,1,30420,-75,14055,110,1
0,1405105248,35279,30555,-75,14160,0,1,30420,-75,14055,110,1
0,1405105249,36283,30555,-75,14160,0,1,30420,-75,14050,110,1
0,1405105250,37285,30555,-75,14160,0,1,30465,-75,14050,110,1
0,1405105251,38293,30555,-75,14155,0,1,30420,-75,14050,110,1
0,1405105252,39298,30555,-81,14150,0,1,30420,-81,14045,110,1
0,1405105253,40307,30555,-75,14155,0,1,30465,-75,14050,110,1
0,1405105254,41314,30555,-75,14150,0,1,30465,-75,14050,110,1
0,1405105255,42321,30555,-81,14150,0,1,30465,-81,14045,110,1
0,1405105256,43329,30555,-75,14150,0,1,30465,-75,14045,110,1
0,1405105257,44336,30555,-75,14150,0,1,30420,-75,14045,110,1
0,1405105258,45352,30555,-75,14150,0,1,30420,-75,14045,110,1
0,1405105259,46357,30555,-75,14145,0,1,30420,-75,14040,110,1
0,1405105260,47364,30555,-74,14145,0,1,30420,-75,14040,110,1
0,1405105261,48371,30555,-74,14145,0,1,30420,-75,14040,110,1
0,1405105262,49375,30555,-74,14145,0,1,30420,-75,14040,110,1
0,1405105263,50378,30555,-75,14145,0,1,30465,-75,14035,110,1
0,1405105264,51384,30555,-75,14140,0,1,30420,-75,14035,110,1
0,1405105265,52390,30555,-96,14130,0,1,30465,-96,14025,110,1
0,1405105266,53403,30555,-96,14125,0,1,30465,-96,14020,110,1
0,1405105267,54410,30555,-95,14125,0,1,30420,-96,14020,110,1
0,1405105268,55429,30555,-95,14125,0,1,30465,-96,14015,110,1
0,1405105269,56436,30555,-95,14120,0,1,30420,-96,14015,110,1
0,1405105271,58479,30555,-95,14120,0,1,30465,-96,14015,110,1
0,1405105272,59482,30555,-95,14115,0,1,30465,-96,14010,110,1
0,1405105273,60493,30555,-95,14115,0,1,30420,-96,14010,110,1
0,1405105274,61499,30555,-101,14110,0,1,30465,-102,14005,110,1
0,1405105275,62507,30555,-95,14110,0,1,30465,-96,14005,110,1
0,1405105276,63511,30555,-6,14160,21571,1,30420,-6,14055,21967,1
0,1405105277,64513,30555,2,14175,23903,1,30465,1,14070,24145,1
0,1405105278,65523,30600,0,14180,23903,4,30465,0,14075,24156,2
0,1405105279,66526,30555,0,14180,23903,4,30465,0,14080,24156,2
0,1405105280,67536,30555,100,14235,23518,1,30465,100,14130,23881,3
0,1405105281,68542,30555,100,14240,23518,1,30465,100,14140,23881,3
0,1405105282,69546,30555,100,14245,23518,1,30465,100,14145,23881,3
0,1405105283,70548,30555,100,14250,23518,1,30465,100,14150,23881,3
0,1405105284,71556,30555,100,14255,23518,1,30465,100,14150,23881,3
0,1405105285,72559,30555,100,14260,23518,1,30465,100,14155,23881,3
0,1405105286,73561,30555,100,14265,23518,1,30465,100,14160,23881,3
0,1405105287,74565,30555,100,14270,23518,1,30465,100,14165,23881,3
0,1405105288,75573,30555,100,14270,23518,1,30465,100,14170,23881,3
0,1405105289,76580,30555,100,14275,23518,1,30465,100,14170,23881,3
0,1405105290,77589,30555,100,14280,23518,1,30465,100,14175,23881,3
0,1405105291,78596,30555,100,14280,23518,1,30465,100,14175,23881,3
0,1405105292,79606,30555,100,14285,23518,1,30465,100,14180,23881,3
0,1405105293,80613,30555,100,14290,23518,1,30465,100,14180,23881,3
0,1405105294,81626,30555,100,14290,23518,1,30465,100,14185,23881,3
0,1405105295,82632,30555,100,14295,23518,1,30465,100,14185,23881,3
0,1405105296,83643,30555,100,14295,23518,1,30465,100,14190,23881,3
0,1405105297,84650,30555,100,14300,23518,1,30465,100,14190,23881,3
0,1405105298,85667,30555,100,14300,23518,1,30465,100,14195,23881,3
0,1405105299,86682,30555,100,14305,23518,1,30465,100,14195,23881,3
0,1405105300,87688,30555,100,14305,23518,1,30465,100,14200,23881,3
0,1405105301,88695,30555,100,14310,23518,1,30465,100,14200,23881,3
0,1405105302,89711,30555,100,14310,23518,1,30465,100,14205,23881,3
0,1405105303,90715,30555,100,14315,23518,1,30465,100,14205,23881,3
0,1405105304,91721,30555,100,14315,23518,1,30465,100,14210,23881,3
0,1405105305,92731,30555,100,14320,23518,1,30465,100,14210,23881,3
0,1405105306,93733,30555,100,14320,23507,1,30465,100,14215,23881,3
0,1405105307,94736,30555,100,14325,23518,1,30465,100,14215,23881,3
0,1405105308,95743,30555,100,14325,23518,1,30465,100,14215,23881,3
0,1405105309,96752,30555,100,14325,23518,1,30465,100,14220,23881,3
0,1405105310,97754,30555,100,14330,23518,1,30465,100,14220,23881,3
0,1405105311,98758,30555,100,14330,23518,1,30465,100,14220,23881,3
0,1405105312,99766,30555,100,14335,23518,1,30465,100,14225,23881,3
0,1405105313,100773,30555,100,14335,23518,1,30465,100,14225,23881,3
0,1405105314,101778,30555,100,14335,23518,1,30465,100,14225,23881,3
0,1405105315,102792,30555,100,14340,23518,1,30465,100,14230,23881,3
0,1405105316,103801,30555,100,14340,23507,1,30465,100,14230,23881,3
0,1405105317,104808,30555,100,14345,23518,1,30465,100,14230,23881,3
0,1405105318,105819,30555,100,14345,23518,1,30465,100,14235,23881,3
0,1405105319,106823,30555,100,14345,23507,1,30465,100,14235,23881,3
0,1405105320,107836,30555,100,14345,23518,1,30465,100,14235,23881,3
0,1405105321,108841,30555,100,14350,23507,1,30420,100,14240,23881,3
0,1405105322,109846,30555,100,14350,23518,1,30465,100,14240,23881,3
0,1405105323,110851,30555,100,14355,23507,1,30465,100,14245,23881,3
0,1405105324,111857,30555,100,14355,23507,1,30465,100,14245,23881,3
0,1405105325,112858,30555,100,14355,23507,1,30465,100,14245,23881,3
0,1405105326,113863,30555,100,14360,23518,1,30465,100,14250,23881,3
0,1405105327,114869,30555,100,14360,23518,1,30465,100,14250,23881,3
0,1405105328,115875,30555,100,14365,23507,1,30465,100,14250,23881,3
0,1405105329,116881,30555,100,14365,23507,1,30465,100,14255,23881,3
0,1405105331,118181,30555,100,14365,23507,1,30465,100,14255,23881,3
0,1405105332,119182,30555,100,14370,23507,1,30465,100,14255,23881,3
0,1405105333,120183,30555,101,14370,23507,1,30465,100,14260,23881,3
0,1405105334,121189,30555,101,14370,23507,1,30465,100,14260,23881,3
0,1405105335,122194,30555,101,14370,23507,1,30465,100,14260,23881,3
0,1405105336,123200,30555,100,14375,23507,1,30465,100,14260,23881,3
